employeeId,employeeName,employeeStatus,password
E0001,Ahmad bin Abdullah,1,3f7g9h2k
E0002,Siti binti Ali,0,j4k5l6m7
E0003,Tan Wei Ling,0,n8o9p0q1
E0004,Lee Chee Seng,0,r2s3t4u5
E0005,Rajesh Kumar,0,v6w7x8y9
E0006,Ng Mei Yen,0,z0a1b2c3
E0007,Mohd Zaki bin Omar,0,d4e5f6g7
E0008,Lim Hui Min,0,h8i9j0k1
E0009,Wong Kai Sheng,0,l2m3n4o5
E0010,Nurul Aisyah binti Aziz,1,p6q7r8s9
E0011,Goh Wei Xian,0,t0u1v2w3
E0012,Lee Mei Ling,1,x4y5z6a7
E0013,Ramesh Singh,0,b8c9d0e1
E0014,Tan Siew Hoon,0,f2g3h4i5
E0015,Ali bin Abu Bakar,1,j6k7l8m9
